,, Seasonal Jobs, Summer Camp, Teaching, Travel / Tour, Volunteer,Internships,Study Abroad,Language Schools
,,6,3,4,2,0,8,11,12
2, Art / Drama / Music,x,,,,,,,
49, Au-Pair Jobs,x,,,,,,,
34, Beauty Therapist,x,,,,,,,
67, Campsite Jobs,x,,,,,,,
3, Care Work,x,,,,,,,
33, Cook / Chef Work,x,,,,,,,
68, Cruise Ship Jobs,x,,,,,,,
42, Dance Work,x,,,,,,,
48, Farm work,x,,,,,,,
50, Field guide training,x,,,,,,,
30, Holiday Resort Work,x,,,,,,,
64, Horse Riding,x,,,,,,,
39, Hotel Jobs,x,,,,,,,
29, Instructor Courses,x,,,,,,,
70, Music Festival Event Jobs,x,,,,,,,
37, Receptionist Work,x,,,,,,,
45, Ski / Snowboard Instructor Courses,x,,,,,,x,
66, Ski Resort Jobs,x,,,,,,,
13, Sports Instructor Work,x,,,,,,,
21, Summer Jobs,x,,,,,,,
40, Tour Guide Training,x,,,,,,,
65, Tour guide jobs,x,,,,,,,
19, Winter Jobs,x,,,,,,,
82, Activity holidays,,,,x,,,,
72, Adventure holidays,,,,x,,,,
108, Amazon rainforest,,,,,x,,,
1, Animal Volunteer Projects,,,,,x,,,
73, Archaeology holidays,,,,x,,,,
120, Architecture placements,,,,,,x,x,
123, Bird watching holidays,,,,x,,,,
95, Building & construction projects,,,,,x,,,
59, Career break,,,,x,,,,
83, Charity challenges,,,,x,,,,
56, Childcare Work,,,,,x,,,
5, Community Projects,,,,,x,,,
6, Conservation Projects,,,,,x,,,
137, Cooking holidays,,,,x,,,,
112, Cruises,,,,x,,,,
84, Cultural holidays,,,,x,,,,
74, Cycling holidays,,,,x,,,,
7, Expeditions,,,,x,,,,
71, Family holidays,,,,x,,,,
106, Family volunteer projects,,,,,x,,,
133, Festival Tours,,,,x,,,,
58, Gap year,,,,,,,,
75, Gorilla Watching,,,,x,,,,
79, Hiking holidays,,,,x,,,,
77, Horse riding holidays,,,,x,,,,
9, Humanitarian Projects,,,,,x,,,
109, Inca trail & machu picchu tours,,,,x,,,,
107, Law and human rights,,,,,,x,,
62, Learn Spanish,,,,,,,,x
101, Learn arabic,,,,,,,,x
104, Learn chinese,,,,,,,,x
103, Learn chinese (mandarin),,,,,,,,x
132, Learn danish,,,,,,,,x
130, Learn dutch,,,,,,,,x
94, Learn english,,,,,,,,x
96, Learn french,,,,,,,,x
97, Learn german,,,,,,,,x
127, Learn greek,,,,,,,,x
131, Learn hebrew,,,,,,,,x
98, Learn italian,,,,,,,,x
100, Learn japanese,,,,,,,,x
128, Learn korean,,,,,,,,x
125, Learn polish,,,,,,,,x
102, Learn portuguese,,,,,,,,x
99, Learn russian,,,,,,,,x
126, Learn thai,,,,,,,,x
129, Learn turkish,,,,,,,,x
23, Media / Journalism Work Experience,,,,,,x,,
22," Medical, Health, Medicine",,,,,x,x,,
111, Mount everest base camp trek,,,,x,,,,
110, Mount kilimanjaro trek,,,,x,,,,
57, Ngo,,,,,x,,,
124, Northern lights tours,,,,x,,,,
139, Oktoberfest tours,,,,x,,,,
53, Orphanage Work,,,,,x,,,
51, PADI Course,,,,,,,,
138, Painting holidays,,,,x,,,,
76, Photography holidays,,,,x,,,,
134, Rail passes & tours,,,,x,,,,
12, Religious Work,,,,,x,,,
135, Rio carnival packages,,,,x,,,,
54, Safari Tours,,,,x,,,,
78, Sailing holidays,,,,x,,,,
122, Sea kayaking holidays,,,,x,,,,
105, Sightseeing Tickets & Passes,,,,x,,,,
90, Sports coaching,,,,,x,,,
113, Summer volunteer programs,,,,,x,,,
87, Surfing,,,,x,,,,
121, Tiger safaris,,,,x,,,,
80, Trekking holidays,,,,x,,,,
81, Wildlife holidays,,,,x,,,,
93, Yoga,,,,x,,,,
61,Working Holiday Jobs,x,,,,,,,
91,Dental Electives,,,,,,x,,
10,Teach English,,,x,,,,,x
12,Language Schools,,,x,,,,,
9,TEFL Courses,,,x,,,,,
89,Teach abroad,,,x,,,,,
27,Summer Camp Jobs,,x,,,,,,
